Name,Facebook,Twitter,Instagram
USTAZ TUAN IBRAHIM,https://www.facebook.com/ustaztitm/,https://twitter.com/titm_official,
DATO DR HALIM,https://www.facebook.com/drhalimyusof/,https://twitter.com/datodrhalimman1,
USTAZ NIK ABDUH,https://www.facebook.com/Nik-Mohamad-Abduh-177786515581027/,https://twitter.com/nikabduh,
TAN SRI ANNUAR MUSA,https://www.facebook.com/AnnuarMusa/,https://twitter.com/annuarmusa,
USTAZ WAN,https://www.facebook.com/Ustaz-Wan-Junaidi-Original-226163664203807/,https://twitter.com/ustazwan79,
DATO' DR JOHARI MAT,https://www.facebook.com/datodrjohari/,https://twitter.com/seanjmate,
DR. ASYRAF WAJDI DUSUKI,https://www.facebook.com/drasyrafwajdidusuki/,https://twitter.com/drasyrafwajdi,
DATUK JAZLAN,https://www.facebook.com/ahmadjazlanyaakub/,https://twitter.com/nurjazlan,
DR IR YAZID,https://www.facebook.com/irdrmohdyazid/,https://twitter.com/iryazid1,
TENGKU RAZALEIGH HAMZAH,https://www.facebook.com/tengku.razaleighhamzah/,https://twitter.com/razaleigh,
IDRIS JUSOH,https://www.facebook.com/DatoSeriIdrisJusoh/,https://twitter.com/idrisjusoh?lang=en,
DR USTAZ RIDUAN MOHAMAD NOR ,https://www.facebook.com/ustazriduan/,https://twitter.com/riduanmohdnor?lang=en,
DATO' IR. HAJI WAN NAZARI,https://www.facebook.com/Dato-Ir-Haji-Wan-Nazari-1919444894971721/,https://twitter.com/wanazari,
USTAZ DATO' DR KHAIRUDDIN TAKIRI,https://www.facebook.com/drtakiri/,https://twitter.com/ustdrtakiri,
DR. TENGKU ASMADI,https://www.facebook.com/drasmadi/,https://twitter.com/drtengkuasmadi,
DATO RAJA BAHRIN,https://www.facebook.com/RAJABAHRINRAJAAHMAD/,https://twitter.com/iamrajabahrin,
TUAN GURU HAJI ABDUL HADI AWANG,https://www.facebook.com/abdulhadiawang/,https://twitter.com/abdulhadiawang,
DATO' ROSOL BIN WAHID,https://www.facebook.com/drosolwahid/,https://twitter.com/datorosolwahid,
DATUK RAZALI IDRIS,https://www.facebook.com/razaliofficial/,https://twitter.com/zalideris,
AHMAD SHABERY CHEEK,https://www.facebook.com/ShaberyC/,https://twitter.com/shaberyc,
DATO' SRI REEZAL MERICAN B NAINA MERICAN,https://www.facebook.com/reezal.merican041/,https://twitter.com/reezalmerican?lang=en,
RIZAL HAFIZ BIN RUSLAN,https://www.facebook.com/042tasekgelugor/,https://twitter.com/rizcltg,
LIM GUAN ENG,https://www.facebook.com/limguaneng.malaysia/,https://twitter.com/guanenglim,
NURUL IZZAH ANWAR,https://www.facebook.com/nurulizzahanwar/,https://twitter.com/n_izzah/,
MOHD ZAIDI MOHD SAID,https://www.facebook.com/zaidi4ptgpauh/,https://twitter.com/dzaidisaid,
USTAZ AFNAN HAMIMI B. DATO' TAIB AZAMUDDEN,https://www.facebook.com/afnanhamimiTA/,https://twitter.com/balingjr,
SIM CHEE KEONG,https://www.facebook.com/StevenSimCK/,https://twitter.com/scheekeong,
KASTHURIRAANI PATTO,https://www.facebook.com/Kasthuri-Patto-Parlimen-Batu-Kawan-182593175252348/,https://twitter.com/kasthuripatto,
JAYANTHI DEVI BALAGURU,https://www.facebook.com/JayanthiGerakan/,https://twitter.com/jdb27,
DATO MANSOR OTHMAN,https://www.facebook.com/mansor.othman/,https://twitter.com/mansorhjothman,
DATO IR. DR. SHAIK HUSSEIN BIN MYDIN,https://www.facebook.com/drshaikHM/,https://twitter.com/shm4nt,
WONG HON WAI,https://www.facebook.com/wonghonwai99,https://twitter.com/honwai_wong,
CHOW KON YEOW,https://www.facebook.com/ChowKonYeow/,https://twitter.com/chowkonyeow,
NG SIEW LAI,https://www.facebook.com/pg/ngsiewlai99/,https://twitter.com/nsl88,
BALJIT SINGH,https://www.facebook.com/SdrBaljitSingh/,https://twitter.com/SdrBaljitSingh,
SIM TZE TZIN,https://www.facebook.com/SimTzeTzin.MP/,https://twitter.com/simtzetzin,
DATO' SERI DR. HILMI HAJI YAHAYA,https://www.facebook.com/hilmiyahayabp?filter=3,https://twitter.com/ds_hilmi,
DR. SHAMSUL ANUAR NASARAH,https://www.facebook.com/DatoShamsulAnuar/,https://twitter.com/drshamsulanuar,
DATO SERI HAMZAH ZAINUDIN,https://www.facebook.com/hamzahzainudinofficial/,https://twitter.com/dhzhamzah,
DATO DR NOOR AZMI BIN GHAZALI,https://www.facebook.com/YbDrNoorAzmi/,https://twitter.com/drnoorazmi,
USTAZAH ROHAYA BINTI BAKAR,https://www.facebook.com/P-058-Parlimen-Bagan-Serai-Hajjah-Rohaya-Bakar/,https://twitter.com/rohayab,
ADAM BIN ASMUNI,https://www.facebook.com/adambinasmuni/,https://twitter.com/adamasmuni,
USTAZ IDRIS AHMAD,https://www.facebook.com/Idris-Ahmad-165772956766692/,https://twitter.com/dridrisahmad,
TAN KENG LIANG,https://www.facebook.com/tankengliang/,https://twitter.com/tankengliang,
S.K. DEVAMANY,https://www.facebook.com/skdevamany/,https://twitter.com/skdevamany,
DR KUMAR,https://www.facebook.com/kumar.psm/,https://twitter.com/kumarpsm,
DATO' SERI AHMAD HUSNI HANADZLAH,https://www.facebook.com/DSHHfans/,https://twitter.com/ahmadhusni_my,
WONG KAH WHO,https://www.facebook.com/wongkahwoh/,https://twitter.com/wongkahwoh,
M. KULA,https://www.facebook.com/kulasegaran/,https://twitter.com/mkula,
V. SIVAKUMAR,https://www.facebook.com/VSivakumar-Batu-Gajah-144726592266454/,https://twitter.com/sivatronoh,
DATIN MASTURA YAZID,https://www.facebook.com/MasturaMohdYazid/,https://twitter.com/masturayazid_,
DATO' NGEH KOO HAM,https://www.facebook.com/ybngehkooham/,https://twitter.com/ngehkooham,
TARMIZI MOHD JAM,https://www.facebook.com/Tarmizi-Mohd-Jam-183843569006447/?ref=page_internal,https://twitter.com/tarmizimdjam,
LEE CHEE LEONG,https://www.facebook.com/datoleecheeleong/,https://twitter.com/cheeleonglee,
DR LEE BOON CHYE,https://www.facebook.com/leeboonchye/,https://twitter.com/leeboonchye,
DR HATTA RAMLI,https://www.facebook.com/drhattaramli/,https://twitter.com/benramli?lang=en,
DATO' SERI DIRAJA DR ZAMBRY ABD KADIR,https://www.facebook.com/zambryabdkadir/,https://twitter.com/zambryofficial,
AHMAD ZAHID BIN HAMIDI,https://www.facebook.com/zahidhamidi.fanpage/,https://twitter.com/zahid_hamidi,
NGA KOR MING,https://www.facebook.com/%E6%94%AF%E6%8C%81-nga-kor-ming-702036519878232/,https://twitter.com/NgaKorMing?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,
MAH SIEW KEONG,https://www.facebook.com/mahsiewkeong8/,https://twitter.com/mahsiewkeong8,
DR. AHMAD RAMADZAN,https://www.facebook.com/DrAhmadRamadzan/,https://twitter.com/changlihkang,
USTAZ MOHD TARMIZI,https://www.facebook.com/mohdtarmiziabrahman/,https://twitter.com/ustarmiziyahaya,
DATO' SIVARRAAJH CHANDRAN,https://www.facebook.com/Sivarraajh/,https://twitter.com/sivarraajh,
MANOGARAN,https://www.facebook.com/YbMManogaran/,https://twitter.com/ManoforCamerons/,
CHEW MEI FUN,https://www.facebook.com/ChewMeiFun/,https://twitter.com/chewmeifun,
WAN MOHD SHAHRIR,https://www.facebook.com/HARAPANP081/,https://twitter.com/saifuddinabd,
DATO' DR JOHAN BIN MAT SAH,https://www.facebook.com/Drjohanmatsah/,https://twitter.com/drjohan62,
FUZIAH SALLEH,https://www.facebook.com/YBFuziahSalleh/,https://twitter.com/fuziah99,
MOHD SHAHAR BIN ABDULLAH,https://www.facebook.com/shaharabdlh/,https://twitter.com/shaharabdlh/,
MOHD ASHRAF MUSTAQIM,https://www.facebook.com/Ashraf.mustaqim84/,https://twitter.com/ashraf_mustaqim,
DATO' SRI MOHD NAJIB BIN TUN ABD RAZAK,https://www.facebook.com/najibrazak/,https://twitter.com/najibrazak,
HJ ANUAR TAHIR,https://www.facebook.com/Mohd-Anuar-Tahir-849876868456808/,https://twitter.com/hjanuartahir,
DATO' SRI HAJI MOHD SHARKAR BIN HAJI SHAMSUDIN,https://www.facebook.com/MohdSharkar/,https://twitter.com/mohdsharkar,
KHAIDIR AHMAD,https://www.facebook.com/Khaidir-Ahmad-82878137517/,https://twitter.com/khaidirtv3,
WONG TACK,https://www.facebook.com/wongtack/,https://twitter.com/wong_tack,
DATO' SRI LIOW TIONG LAI,https://www.facebook.com/LiowTiongLai/,https://twitter.com/liowtionglai,
ISMAIL SABRI YAAKOB,https://www.facebook.com/ismailsabri60/,https://twitter.com/ismailsabri60,
BUDIMAN BIN MOHD ZOHDI,https://www.facebook.com/BudimanMohdZohdi/,https://twitter.com/budimanzohdi/,
JUNE LEOW,https://www.facebook.com/JuneLeowP094HuluSelangor/,https://twitter.com/jdm_sc/,
P.KAMALANATHAN,https://www.facebook.com/ybPKamalanathan/,https://twitter.com/pkamalanathan/,
TAN SRI NOH BIN HAJI OMAR,https://www.facebook.com/mynohomar/,https://twitter.com/mynohomar,
DR HJ DZUKEFLY AHMAD,https://www.facebook.com/Drdzulfanpage/,https://twitter.com/drdzul,
IRMOHIZAM,https://www.facebook.com/Dr-Irmohizam-Ibrahim-283605981775326/,https://twitter.com/irmohizam,
WILLIAM LEONG JEE KEEN,https://www.facebook.com/williamleongjeekeen/,https://twitter.com/leongjeekeen/,
KANG MENG FUAT,https://facebook.com/ahkang13/,https://twitter.com/kangmf/,
DATO' SERI AZMIN ALI,https://www.facebook.com/MohamedAzminAli/,https://twitter.com/azminali/,
DATUK ABDUL RAHIM KAMARUDIN,https://www.facebook.com/umnogombak/,https://twitter.com/rahimusj,
Ir. KHAIRIL NIZAM,https://www.facebook.com/IrKhairilNizam/,https://twitter.com/irkhairilnizam?lang=en,
NURUL ISLAM BIN MOHAMED YUSOFF,https://www.facebook.com/nislammyusoff/,https://twitter.com/iamnurulislam22,
DR WAN AZIZAH,https://www.facebook.com/drwawi/,https://twitter.com/drwanazizah/,
USTAZ SUKRI OMAR,https://www.facebook.com/ustazsukriomar/,https://twitter.com/sukriomar/,
USTAZ HASANUDDIN MOHD YUNUS,https://www.facebook.com/ustazhasanuddin/,https://twitter.com/usthasanuddin/,
DR CHE ROSLI CHE MAT,https://www.facebook.com/YBdrCheRosli/,https://twitter.com/drcherosli/,
DR. ONG KIAN MING,https://www.facebook.com/ongkianming/,https://twitter.com/imokman?lang=en,
GOBIND SINGH DEO,https://www.facebook.com/GobindDAP/,https://twitter.com/GobindSinghDeo/,
WONG CHEN,https://www.facebook.com/wongchenpkr/,https://twitter.com/wongchenpkr/,
IR. TAN SEONG LIM,https://www.facebook.com/mpsubang2018/,https://twitter.com/mpsubang2018,
SHAHIR ADNAN,https://www.facebook.com/shahirofficial/,https://twitter.com/shahir_adnan/,
TOH SIN WAH,https://www.facebook.com/tohsinwah/,https://twitter.com/sw_toh?lang=en,
MARIA CHIN ABDULLAH,https://www.facebook.com/therealmariachin/,https://twitter.com/mariachin/,
TONY PUA,https://www.facebook.com/MPTonyPua/,https://twitter.com/tonypua/,
SIVARASA RASIAH,https://www.facebook.com/sivarasa.rasiah.malaysia/,https://twitter.com/sivarasarasiah/,
A. PRAKASH RAO,https://www.facebook.com/CikguPrakash/,https://twitter.com/pakasnir,
KHALID ABD SAMAD,https://www.facebook.com/ybkhalidsamad/,https://twitter.com/khalidsamad/,
HAJI AZHARI SHAARI,https://www.facebook.com/AzhariShaariOfficial/,https://twitter.com/azharishaari,
DR MOHD ZUHDI BIN MARSUKI,https://www.facebook.com/pg/drzuhdi/,https://twitter.com/mohdzuhdimarzuk/,
MOHANA MUNIANDY,https://www.facebook.com/mohanaMIC/,https://twitter.com/mohanamuniandy/,
CHARLES SANTIAGO,https://www.facebook.com/charlessantiago/,https://twitter.com/mpklang/,
MOHAMAD SABU,https://www.facebook.com/mohdsabu1954/,https://twitter.com/msabu_official/,
V. GUNALAN,https://www.facebook.com/CALONP.111KOTARAJA/,https://twitter.com/gunalanp111/,
DR XAVIER JAYAKUMAR,https://www.facebook.com/drxavierjayakumar/,https://twitter.com/xavierjayakumar/,
SHAHRIL HAMDAN,https://www.facebook.com/shahrilsufianhamdan/,https://twitter.com/ShahrilHamdan/,
DATUK DR. YAHYA BABA,https://www.facebook.com/KualaLangatSejahtera/,https://twitter.com/yahya_baba,
DATO' HAJI MARSUM BIN PAING,https://www.facebook.com/MarsumPaing/,https://twitter.com/marsumpaing/,
SABIRIN MARSONO,https://www.facebook.com/TnHjSabirinMarsono/,https://twitter.com/sabirinmarsono,
LIM LIP ENG,https://www.facebook.com/limlipengOfficialPage/,https://twitter.com/limlipeng?lang=en,
DR. DOMINIC LAU HOE CHAI,https://www.facebook.com/DominicLauHoeChai/,https://twitter.com/dominiclauhc/,
DR. TAN YEE KEW,https://www.facebook.com/TanYeeKew/,https://twitter.com/drtyk?lang=en,
HANNAH YEOH,https://www.facebook.com/hannahyeoh/,https://twitter.com/hannahyeoh/,
LOGA BALA MOHAN,https://www.facebook.com/loga.bala.mohan.1/,https://twitter.com/logabalamohan/,
SOLLEH RAZAK,https://www.facebook.com/P117-Segambut-Sejahtera-1580100575586163/,https://twitter.com/PAS_Segambut,
NIK NAZMI BIN NIK AHMAD,https://www.facebook.com/niknazminikahmad/,https://twitter.com/niknazmi/,
USTAZ UBAID BIN HAJI ABD AKLA,https://www.facebook.com/paskawasansetiawangsa/,https://twitter.com/ubaid_akla,
RINA MOHD HARUN,https://www.facebook.com/rinaharunsrikandi/,https://twitter.com/rinamohdharun/,
DATUK SERI JOHARI GHANI,https://www.facebook.com/JohariTitiwangsa/,https://twitter.com/joharighani_ttw?lang=en,
